Fridge1,Fridge2,MW1,MW2,Coffee1,Coffee2,Charger,Tele1,Tele2,Tele3,Tele4,Tele5,Tele6,Tele7,Tele8,Tele9,Tele10,Tele11,Tele12,Tele13,Tele14,Tele15,Tele16,Tele17,Tele18,Tele19,Tele20,Stereo,Laptop1,Laptop2,Laptop3,Kettle,Shaver,DishWash,WashMach,Elec,Oven,Toas,Waff,Hair,Iron,Vacuum,Sauna,Radio,Radio_Standby,Elecheat,Dryer,Fan,Mixer,Blender,Router,Dehumidifyer,Bread,Game,Vivarium,Pump
0.7725,0.960306667,0.942016364,0.944854545,,,0.9724,0.0096,0.0096,0.0052,1.0564,0.450738462,0.975146154,0.002311111,0.965622222,0.974380952,0.9724,0,0,0,0.003444444,1.0106125,1.0054375,0.981846154,0.000792308,0.769155,0.000515,0.937585714,0.747644444,1,1,0.89879,0.791666667,0.069833729,0.004310345,0.852207981,0.651727862,0.995028409,0.651727862,0.022282119,0,1,0.7725,0.147058824,0.051470588,0.994535519,0.919095601,0.995028409,0.995028409,0.995028409,0.885057573,0.7725,,0.798425165,0.798425165,0.798425165
0.767866667,0.95892,0.935014545,0.665352727,,,0.97141,0.0096,0.0096,0.8378,1.0512,0.955930769,0.768584615,0.002311111,0.964466667,0.969428571,0.971409524,0,0,0,0.0023,1.0093125,1.0041375,0.985830769,0.000792308,0.766565,0.000515,0.968642857,0.755688889,1,1,0.89972,0,0.069833729,0.031167109,0,0.988480922,,0.988480922,0.171967655,0,0.998250219,0.767866667,0.161764706,0.044117647,0.994535519,0.916501216,,,,0.885057573,0.767866667,,0.791338552,0.791338552,0.791338552
0.7644,0.95614,0.940596364,0.664501818,,,0.97141,0.0096,0.0096,1.0824,1.046,0.967138462,0.971138462,0.002311111,0.965622222,0.976361905,0.971409524,0,0,0,0.0046,1.0093125,1.0054375,0.986623077,0.000792308,0.76346,0.000515,0.906542857,0.770644444,1,1,0.89923,0,0.069833729,0.020391247,0,0.247660187,,0.247660187,0.449595687,0,0.98687664,0.7644,0.156862745,0.044117647,0.992714026,0.896612231,,,,0.885057573,0.7644,,0.788976347,0.788976347,0.788976347
0.760933333,0.953366667,0.954221818,0.953748182,,,0.97141,0.0096,0.0096,0.99915,1.046,0.970338462,0.982346154,0.002311111,0.965622222,0.971409524,0.971409524,0,0,0,0.0046,1.008025,1.0054375,0.986623077,0.000792308,0.753625,0.000515,0.942028571,0.752244444,1,1,0.89879,0,0.070308789,0.020888594,0,0.000575954,,0.000575954,0.998562442,0,0.98687664,0.760933333,0.166666667,0.058823529,0.994535519,0.891908939,,,,0.885057573,0.760933333,,0.784251938,0.784251938,0.784251938
0.757466667,0.952673333,0.951761818,,,,0.97042,0.0096,0.0096,1.0772,1.046,0.971138462,0.9207,0.001155556,0.965622222,0.975371429,0.970419048,0,0,0,0.0046,1.0093125,1.0054375,0.989015385,0.000792308,0.76346,0.000515,0.891742857,0.751088889,1,1,0.89972,0,0.069833729,0.667329798,0,,,,1,0,0.988626422,0.757466667,0.176470588,0.044117647,0.992714026,0.908321915,,,,0.885057573,0.757466667,,0.843307053,0.843307053,0.843307053
0.755155556,0.9499,0.952234545,,,,0.9724,0.0096,0.0096,1.0772,1.046,0.608461538,0.979146154,0.001155556,0.965622222,0.973390476,0.9724,0,0,0,0.005744444,1.008025,1.0054375,0.989015385,0.000792308,0.74793,0.000515,0.927242857,0.760288889,0.916666667,0.916666667,0.89923,0,0.534916865,0.960543767,0,,,,0.999281224,0,0.988626422,0.755155556,0.176470588,0.044117647,0.994535519,0.908172111,,,,0.885057573,0.755155556,,0.866141659,0.866141659,0.866141659
0.752833333,0.95198,0.93738,,,,0.97339,0.0096,0.0096,1.072,1.046,0.845446154,0.976746154,0.001155556,0.964466667,0.9724,0.973390476,0,0,0,0.003444444,1.008025,1.00285,0.984238462,0,0.755695,0.000515,0.8814,0.751088889,0.916666667,0.916666667,0.89879,0,0.988598575,0.966290892,0,,,,0.997843666,0.701390421,0.990376203,0.752833333,0.198529412,0.047058824,0.992714026,0.894375157,,,,0.885057573,0.752833333,,0.83622044,0.83622044,0.83622044
0.752833333,0.951286667,0.938988182,,,,0.97339,0.0096,0.0096,0.9783,1.0564,0.986353846,0.979146154,0.002311111,0.964466667,0.974380952,0.973390476,0,0,0,0.003444444,1.008025,1.00285,0.983438462,0.000792308,0.75311,0.000515,0.9302,0.748788889,1,1,0.89972,0,0.986698337,0.975961538,0,,,,0.997843666,0.992054734,0.994750656,0.752833333,0.176470588,0.039215686,0.992714026,0.892623559,,,,0.885057573,0.752833333,,0.854330636,0.854330636,0.854330636
0.750522222,0.948513333,0.94107,,,,0.97339,0.0096,0.0096,0.6713,1.0512,0.826230769,0.983146154,0.002311111,0.965622222,0.975371429,0.973390476,0,0,0,0.003444444,1.008025,1.0041375,0.980253846,0.000792308,0.75518,0.000515,0.887314286,0.745344444,0.916666667,0.916666667,0.89923,1,0.986223278,0.965627762,0,,,,0.997484275,0.040057383,0.990376203,0.750522222,0.191176471,0.058823529,0.992714026,0.893928519,,,,0.885057573,0.750522222,,0.858267722,0.858267722,0.858267722
0.748211111,0.94504,0.960560909,,,,0.96843,0.0096,0.0096,1.0772,1.046,0.991953846,0.972738462,0.002311111,0.965622222,0.975371429,0.968428571,0,0,0,0.003444444,1.008025,1.00285,0.984238462,0.182353846,0.731885,0.000515,0.888785714,0.759144444,1,1,,1,0.986223278,0.004310345,0,,,,0.994788857,0,0.994750656,0.748211111,0.211764706,0.058823529,0.990892532,0.894864517,,,,0.885057573,0.748211111,,0.869291304,0.869291304,0.869291304
